Name,Row,Column,Label
DB060507NWA6AB-2F.JPG,179,384,UEB
DB060507NWA6AB-2F.JPG,251,250,HBCO
DB060507NWA6AB-2F.JPG,114,431,HBCO
DB060507NWA6AB-2F.JPG,172,289,UEB
DB060507NWA6AB-2F.JPG,180,169,HBCO
DB060507NWA6AB-2F.JPG,337,499,HBCO
DB060507NWA6AB-2F.JPG,246,512,URF
DB060507NWA6AB-2F.JPG,316,646,AST
DB060507NWA6AB-2F.JPG,420,667,HBCO
DB060507NWA6AB-2F.JPG,205,941,AGL
DB060507NWA6AB-2F.JPG,465,771,URF
DB060507NWA6AB-2F.JPG,243,821,HBCO
DB060507NWA6AB-2F.JPG,321,584,UEB
DB060507NWA6AB-2F.JPG,238,780,HBCO
DB060507NWA6AB-2F.JPG,320,1094,URF
DB060507NWA6AB-2F.JPG,134,1078,HBCO
DB060507NWA6AB-2F.JPG,238,1120,URF
DB060507NWA6AB-2F.JPG,151,961,HBCO
DB060507NWA6AB-2F.JPG,415,1157,UEB
DB060507NWA6AB-2F.JPG,182,1208,URF
DB060507NWA6AB-2F.JPG,432,996,URF
DB060507NWA6AB-2F.JPG,110,1481,URF
DB060507NWA6AB-2F.JPG,154,1650,UOS
DB060507NWA6AB-2F.JPG,467,1660,HBCO
DB060507NWA6AB-2F.JPG,375,1758,URF
DB060507NWA6AB-2F.JPG,149,1457,URF
DB060507NWA6AB-2F.JPG,332,1568,URF
DB060507NWA6AB-2F.JPG,219,2090,LIT
DB060507NWA6AB-2F.JPG,465,1872,UEB
DB060507NWA6AB-2F.JPG,301,1916,LIT
DB060507NWA6AB-2F.JPG,155,1992,LIT
DB060507NWA6AB-2F.JPG,340,2043,PCC
DB060507NWA6AB-2F.JPG,580,325,HBCO
DB060507NWA6AB-2F.JPG,822,291,URF
DB060507NWA6AB-2F.JPG,657,435,URF
DB060507NWA6AB-2F.JPG,720,303,URF
DB060507NWA6AB-2F.JPG,821,518,HBCO
DB060507NWA6AB-2F.JPG,822,234,URF
DB060507NWA6AB-2F.JPG,828,321,URF
DB060507NWA6AB-2F.JPG,584,917,Shell
DB060507NWA6AB-2F.JPG,718,856,URF
DB060507NWA6AB-2F.JPG,818,773,URF
DB060507NWA6AB-2F.JPG,537,824,HBCO
DB060507NWA6AB-2F.JPG,825,693,LIT
DB060507NWA6AB-2F.JPG,754,859,URF
DB060507NWA6AB-2F.JPG,657,808,Shell
DB060507NWA6AB-2F.JPG,726,847,HBCO
DB060507NWA6AB-2F.JPG,491,909,HBCO
DB060507NWA6AB-2F.JPG,574,1086,URF
DB060507NWA6AB-2F.JPG,798,1225,URF
DB060507NWA6AB-2F.JPG,545,1052,UEB
DB060507NWA6AB-2F.JPG,670,1261,UEB
